Category,Headline,SubHeading,Link,isResult,isMaybe
VM fodbold,Landstræner stopper efter VM-fadæse,"Roberto Martínez er færdig som landstræner for Belgien, efter at landet torsdag røg ud af fodbold-VM",,,
VM fodbold,Legender revser landsholdet efter exit,"Det danske landsholds næste kamp bliver afgørende, mener tidligere anfører for landsholdet",,,
VM fodbold,"- Jeg kommer til at være hård ved mig selv, siger Hjulmand","Landstræner Kasper Hjulmand kommer til at søge en forklaring på, hvordan det kunne gå så grueligt galt ved VM",,,
VM fodbold,Grædefærdig portugiser forlader VM,"20-årige Nuno Mendes måtte udgå af Portugals anden gruppekamp ved VM, hvor modstanderen hed Uruguay",,,
VM fodbold,Peter Møller sendte stikpille til Norge,"Fodbolddirektøren i Dansk Boldspil-Union (DBU) glæder sig over, at Danmark ofte kvalificerer sig til slutrunder",,,
VM fodbold,"""Gylden generation"" er splittet af løgne - og entusiasmen er væk","Det belgiske landshold har kniven for struben mod Kroatien. Taber de, kan det blive den sidste VM-kamp for flere af de store profiler",,,
VM fodbold,De danske spillere lægges for had efter VM-fiasko - nu siger Hjulmand fra,"Spillerne har ikke fortjent fansenes had, lød budskabet fra Kasper Hjulmand",,,
VM fodbold,Jeg kan ikke stille diagnosen. Men noget er saftsuseme galt,Hvem kan stille den rette diagnose i forhold til det danske landshold? Jeg kan ikke,,,
VM fodbold,"Selvom Danmark gerne vil glemme VM, skal de huske den forfærdelige følelse",Andreas Christensen er ekstremt skuffet over VM-slutrunden - nu skal den være en vigtig lektie til fremtiden,,,
VM fodbold,Kjær har bøn til danskerne efter fiasko,"Simon Kjær lægger sig fladt ned efter VM-skuffelsen, men regner fortsat med folkets støtte",,,
VM fodbold,DBU er klar til at forlænge med Hjulmand trods VM-fiasko,Dansk Boldspil-Union (DBU) håber på et langt samarbejde med landstræner Kasper Hjulmand,,,
VM fodbold,Hjulmand gav klar opfordring på pressemøde,"I kølvandet på VM-skuffelsen sendte Kasper Hjulmand en henstilling, der i høj grad var rettet mod den yngre generation",,,
VM fodbold,Frankrig klager til FIFA over annulleret mål,"Det franske landshold mener, at et mål af Antoine Griezmann mod Tunesien fejlagtigt blev annulleret",,,
VM fodbold,"- Vanvid, at vi skal spille igen om to dage","Det er ""vanvid"", at Argentina og Australien spiller ottendedelsfinale ved VM allerede lørdag, lyder det",,,
VM fodbold,"- Hjulmands fremtid er ikke til diskussion, siger Peter Møller",Fodbolddirektør i DBU Peter Møller tager ansvaret for Danmarks pauvre indsats ved VM i fodbold,,,
VM fodbold,"Søvndyssende kulisse blev understreget, da Schmeichels råb til Mæhle kunne høres","Kulissen var så energiforladt, at man flere gange kunne høre, hvad der blev råbt på banen, da Danmark onsdag aften røg ud af VM",,,
VM fodbold,En historisk fiasko. Det dårligste VM nogensinde,Flemming Toft sætter punktum for en dansk slutrunde til glemmebogen,,,
VM fodbold,"- Det bliver over mit lig, hvis det er mit sidste VM",Simon Kjær var for skadet til at spille den afgørende gruppekamp mod Australien,,,
VM fodbold,"Dansk profil stempler VM som ""en kæmpe fiasko""",Danmark er færdig ved VM med ét enkelt point i tre kampe,,,
VM fodbold,"- Det bobler inde i mig, siger Hjulmand",Danmark forlader VM i Qatar efter blot tre kampe. Frankrig og Australien avancerer fra gruppen,,,
VM fodbold,Har du også undret dig? Det betyder den nye grafik på skærmen,"FIFA har ændret på grafikken, der viser boldbesiddelsen under kampene, for at give et bedre billede af opgørets forløb",,,
VM fodbold,Dansk VM-rival har i mange år haft særligt bånd til Danmark,"Australske Mathew Ryan møder onsdag aften Danmark, som han siden sin ankomst til europæisk fodbold har haft et forhold til",,,
VM fodbold,Præsident mødt af pibekoncert - så klippede kameraet væk,"Det var bemærkelsesværdigt kort tid, som billederne af FIFA-præsidenten, Gianni Infantino, rullede over skærmen",,,
VM fodbold,Møller er optimistisk: - Vi skal ikke flyve hjem torsdag,Peter Møller mærker optimisme og fremgang på VM-holdet. Han forventer avancementsgivende sejr over Australien,,,
VM fodbold,- På en måde satte jeg livet på spil for at komme tilbage til VM,"William Kvist mindes VM-slutrunden i 2018, som for hans vedkommende sluttede efter en halv time",,,
VM fodbold,Eksperterne er meget uenige om Danmarks opstilling,"En sejr over Australien er påkrævet, hvis Danmark skal videre til 1/8-finalen ved VM",,,
VM fodbold,"Én sang synges igen og igen - udtryk for ""naiv optimisme""","At danske fodboldfans i øjeblikket synger om at vinde 4-0, giver ganske god mening - både sportsligt og musikalsk",,,
VM fodbold,Planen virkede mod Tunesien - nu nærstuderer de Eriksen,Den australske journalist Adam Peacock beretter om stemningen omkring det australske landshold før VM-skæbnekampen mod Danmark,,,
VM fodbold,Prognosen har ændret sig - her er Danmarks vej til VM-finalen,Analysefirmaet Nielsen har tidligere givet Australien favoritværdigheden mod Danmark,,,
VM fodbold,"Hylder Eriksens vej tilbage: - Trist at se, hvad der skete med ham",De australske spillere har kæmpestor respekt for Christian Eriksen forud for VM-nøglekampen mod Danmark,,,
VM fodbold,Mexicos imponerende VM-stime hænger i en tynd tråd,Alt andet end tre point mod Saudi-Arabien vil ødelægge Mexicos ottendedelsfinalestime ved VM,,,
VM fodbold,Ekspert kritiserer lang tillægstid til VM: En ulempe for Danmark,"Flere af de danske VM-spillere er ikke i god fysisk form, og det er en ulempe, når VM-kampene varer mindst 100 minutter, mener David Nielsen",,,
VM fodbold,Danmark kan ikke kun selv afgøre det - her er scenarierne,"Det kan ende med lodtrækning, når Danmarks VM-skæbne skal afgøres",,,
VM fodbold,"Tantholdt tilbageholdt af politiet i Qatar - her er videoerne, han skulle slette","Rasmus Tantholdt fik lov at gå sin vej kort efter, mod at han slettede de optagelser, han havde lavet af konfrontationerne. Det nægtede han dog",,,
VM fodbold,VM-stjerne røg direkte på hospitalet efter afgørende mål,"USA gik videre til ottendedelsfinalerne, men en skade til Christian Pulisic slår skår i glæden",,,
VM fodbold,VM-fan revet ud af stadion af aggressivt politi,Efter i første omgang at blive aggressivt behandlet og ledt ud af stadion fik den amerikanske fan Brian Davis til sidst lov at overvære kampen,,,
VM fodbold,Scout med indgående kendskab: - Her kan vi gøre ondt på Australien,Med hjælp fra en scout er Danmark så småt klar til at tage kampen op imod Australien,,,
VM fodbold,Israelske journalister får hård medfart i Qatar,"Talrige udfald mod tv-journalister er stor overraskelse for israelere. De er ikke så velkomne i den arabiske verden, som de troede",,,
VM fodbold,Kvindelig dommer kommer til at skrive VM-historie,Tysklands kamp mod Costa Rica torsdag bliver ledet af et rent kvindeligt dommerteam,,,
VM fodbold,"Australsk landstræners dag blev ""ødelagt"" af iransk journalist",Den 29. november 1997 lå en flok sønderknuste australske fodboldspillere på en græsplæne i Melbourne. Heriblandt nuværende landstræner Graham Arnold,,,
VM fodbold,Pludselig dukkede en mand i jakkesæt op og lyttede med på Tantholdts interview med dansk-iraner,Dansk-iranske Siavash Rezvani er taget til VM i Qatar for at vise sin utilfredshed med det iranske præstestyre - og det bliver bemærket,,,
VM fodbold,"- Det er en farlig leg, siger Hjulmand om australsk mulighed","Kasper Hjulmand er ikke i tvivl om, at Australiens helt store styrke ligger i kollektivet",,,
VM fodbold,Spillere sønderknust efter bristet VM-drøm,Senegal-spillerne var til gengæld jublende lykkelige efter kampen,,,
VM fodbold,Australsk stjerne langer kraftigt ud efter FCK,"FC Københavns sportschef, Peter Christiansen, afviser kritikken fra Mathew Ryan",,,
VM fodbold,Vildt VM-drama afgør Gruppe A,"Billetten videre til VM's knockoutkampe skiftede hænder flere gange undervejs, da Gruppe A blev afgjort som den første",,,
VM fodbold,Så du detaljen? Derfor skiftede Ronaldo trøje i pausen,"Cristiano Ronaldo skiftede trøje efter de første 45 minutter for at få bedre muligheder for at score. Og han mener da også selv, han fik bolden i mål",,,
VM fodbold,Danmarks niveau overrasker australske journalister,"Folkestemningen i Australien var ikke optimistisk, da de kom i VM-gruppe med Danmark og Frankrig. Nu er den vendt",,,
VM fodbold,"- Jeg kan få mine penge, når jeg bliver gammel, siger dansk debutant","Jesper Lindstrøm har gang i en kometkarriere på klubplan, men det kommer i anden række lige nu, hvor han er samlet med Danmarks fodboldlandshold",,,
VM fodbold,Rørte Ronaldo bolden? Adidas giver klart svar,"Adidas mener at kunne fastslå, at Cristiano Ronaldo ikke rørte indlægget fra Bruno Fernandes mod Uruguay",,,
VM fodbold,Danmark vil følge med i den anden kamp - det vil Australien ikke,Tunesien kan gøre livet surt for Danmark og Australien onsdag,,,
VM fodbold,FIFA straffer Tyskland efter regelbrud,Det tyske fodboldforbund skal betale 10.000 schweiziske franc for at bryde regler for pressemøder,,,
VM fodbold,Kunne du også genkende baneløberen i Qatar? Her har du set ham før,Italiensk baneløber har en lang række opsigtsvækkende baneinvasioner bag sig,,,
VM fodbold,Ingen danske skader giver Hjulmand en svær opgave,"En blanding af mentale, taktiske og fysiske aspekter afgør Kasper Hjulmands startopstilling mod Australien",,,
VM fodbold,Landsholdet holdt fri - men alle trænede alligevel,To dage inden kampen den afgørende VM-kamp mod Australien fik de danske landsholdsspillere muligheden for at få tankerne væk fra fodbold,,,
VM fodbold,"Eksperter hylder ""superstjerne i svøb""","TV 2 SPORTs eksperter spår Mohammed Kudus en lys fremtid, efter han har storspillet ved VM",,,
VM fodbold,Hvad skal der ske med Mbappé? Landstræner giver kryptisk svar,"På pressemødet dagen inden Frankrigs sidste gruppekamp ville den franske landstræner ikke røbe, hvor mange spillere han har tænkt sig at hvile",,,
,Jeg kan være med på det niveau,"Med billeder fortæller de personer på og omkring det danske herrelandshold om dagligdagen, mens de er til VM",,,
VM fodbold,Dommereksperter er enige: Der var ikke straffe til Portugal,"Dommeren fløjtede straffespark, efter VAR-dommerne kaldte ham ud for at se situationen igennem",,,
VM fodbold,"Mellem 400 og 500 er døde ved VM-byggeri, siger chef","Hassan Al-Thawadi erkender, at for mange er døde ved stadionbyggeri, men påpeger, at der er sket forbedringer",,,
VM fodbold,"- Det er vores benzin, siger Schmeichel om disse videoer",Kasper Hjulmand viser de mange videoer af euforiske fans til landsholdets møder,,,
VM fodbold,- Et dansk nederlag vil forstyrre naturlig orden,Australsk medie udråber eget landshold til at være de evige underdogs forud for skæbnekamp mod Danmark,,,
VM fodbold,"- Det lignede Ronaldos mål, siger Fernandes","Selv om det var Bruno Fernandes, som kom på måltavlen, mente han selv, at Portugals åbningsmål var Ronaldos",,,
VM fodbold,Dyster VM-prognose for Danmark,Ifølge et analysefirma har Australien større chance end Danmark for at gå videre ved VM. Hvordan ser det ud i de andre grupper?,,,
VM fodbold,Landstræner delte rørende hilsen inden storkamp,For Luis Enrique vil den 27. november altid være en særlig dato. Søndag kunne hans datter være fyldt 13 år,,,
VM fodbold,Disse ting skal du huske på inden tredje runde,Her kan du få dugfriske tips til tredje runde af VM-managerspillet på Holdet.dk,,,
VM fodbold,VM-chef om anførerbind: - Alene FIFA's afgørelse,"Hassan Al-Thawadi afviser, at han var indblandet i beslutningen om at afvise brugen af One Love-anførerbind",,,
VM fodbold,Portugal i jubel - er videre ved VM,"Sammen med Frankrig og Brasilien er Portugal det tredje hold ved VM , der er klar til 1/8-finalerne",,,
VM fodbold,Person afbryder VM-brag med tre stærke budskaber,"En mand havde flere budskaber med sig hen over græstæppet, da han løb på banen i Qatar",,,
VM fodbold,"Knust komet udgår: - Stakkels dreng, han er helt utrøstelig","Den 20-årige PSG-spiller Nuno Mendes måtte udgå af Portugals anden gruppekamp ved VM. Reaktionen tyder på, resten af slutrunden kan være i fare",,,
VM fodbold,USA lægger sig fladt ned efter iransk raseri,"Spillere og trænere kendte ikke til det redigerede flag, som har bragt vrede i Iran, fastslår Gregg Berhalter",,,
VM fodbold,"Hvad siger Ronaldo, når han laver sin ikoniske jubelscene?","Allerede i Portugals første kamp ved VM-slutrunden kunne Cristiano Ronaldo igen springe op, dreje rundt og råbe ""SIU""",,,
VM fodbold,Statistikken har talt: Frankrig genvinder VM - og det er helt sikkert,"Hver eneste gang Frankrig har undgået at tabe til Danmark i gruppespillet til enten EM- eller VM-slutrunder, har det ført til fransk triumf",,,
VM fodbold,Rødt kort efter slutfløjt - dommerekspert sætter ord på drama,"Sydkoreas portugisiske landstræner, Paulo Bento, må se den afgørende gruppekamp fra tribunen, da han fik direkte rødt kort efter slutfløjtet",,,
VM fodbold,Træner reagerer på opsigtsvækkende beslutning,Inter-målmand André Onana ønskede ikke at spille Camerouns VM-kamp mod Serbien,,,
VM fodbold,VM-favoritterne mestrer det meste - men én rolle er forandret,"Brasilien er de største favoritter til at vinde VM. Historisk er nationen kendt for ultraoffensive backs, men det er ikke tilfældet i år",,,
VM fodbold,"DBU opfylder Hjulmands store ønske og forlænger med ""kæmpe kapacitet""","Ismael Camenforte har siden 2020 været tilknyttet det danske fodboldlandshold, og det vil han som minimum være frem til sommeren 2024",,,
VM fodbold,Iran kræver USA smidt ud af VM,"USA bør straffes med karantæne for at have bragt et forvrænget billede af Irans flag, mener iranere",,,
VM fodbold,Dansk modstander fik salen til at bryde ud i grin,Onsdag mødes Danmark og Australien i en afgørende gruppekamp. Forud for kampen har Australiens eneste VM-målscorer opnået midlertidig heltestatus,,,
VM fodbold,Derfor forsvandt målmand efter nationalsang,"Marokko prøvede for alt i verden på at få deres målmand klar til Belgien-kampen, men måtte opgive i sidste øjeblik",,,
VM fodbold,Tyskland hånet i Qatar efter FIFA-protest,Qatarske fans stiller spørgsmålstegn ved den tyske moral efter deres protester,,,
VM fodbold,- Det er en lettelse at være i live ved VM,"Manuel Neuer kigger frem mod Tysklands kamp mod Costa Rica, som er skæbnesvanger for tysk VM-overlevelse",,,
VM fodbold,Fodboldekspert revser danske VM-spillere: - De er slet ikke i form,"TV 2 har lavet en opgørelse over,  hvor meget spilletid de 26 danske VM-spillere har fået i denne sæson. Se listen sidst i artiklen",,,
VM fodbold,Mbappé overrasker med ny jubelscene,Kylian Mbappés inspiration til jubelscener er førhen kommet fra FIFA-kampe mod sin lillebror Ethan Mbappé,,,
VM fodbold,Voldsomme uroligheder i Belgien efter VM-kamp,Det belgiske politi har været massivt tilstede og nødsaget til at bruge vandkanoner for at få styr på urolighederne og slukke flere påsatte brande,,,
,Mit VM som spiller - udvist efter to minutter,"Med billeder fortæller de personer på og omkring det danske herrelandshold om dagligdagen, mens de er til VM",,,
VM fodbold,Stor mystik - målmand forsvandt efter nationalsang,Marokkos andenmålmand Munir blev hasteindkaldt til en plads i startopstillingen mod Belgien,,,
VM fodbold,Vilde scener - VM-outsider i stor nedtur,"Belgien møder Kroatien i den sidste gruppekamp på torsdag, hvor der virkelig er lagt op til et interessant opgør",,,
VM fodbold,"Hjulmand tror på, at fransk sult kan hjælpe Danmark","Danmark kan ende i en situation, hvor fransk hjælp i deres kamp mod Tunesien er nødvendig for VM-avancement",,,
VM fodbold,Irriteret Schmeichel: - Det handler jo om showet åbenbart,Kasper Schmeichel har ikke været heldig med opvarmningen til de to første kampe mod Tunesien og Frankrig,,,
VM fodbold,Portugisisk profil brækker tre ribben under træning,Danilo Pereira kom til skade under Portugals træning og er nu tvivlsom til resten af slutrunden i Qatar,,,
VM fodbold,Hjulmand giver fri inden afgørende VM-brag,"Størstedelen af de danske spillere får mandag lov til at holde fri, mens andre skal igennem en let træning",,,
VM fodbold,VM-underdog skaber stor overraskelse,"De tyske spillere er formentlig glade for, at Costa Rica slog Japan",,,
VM fodbold,Forbund fjerner symbol fra Irans flag,Der har de seneste måneder været stort fokus på kvinders rettigheder i Iran efter 22-årige Mahsa Aminis død,,,
VM fodbold,"- Når vi skulle ud at løbe, blev vi fulgt af bevæbnede vagter","Peter Bonde mindes VM-slutrunden i 2010, hvor han var Morten Olsens assistent",,,
VM fodbold,Simon Kjær må på bænken mod Australien,Det er en stor beslutning at bænke en anfører midt under en VM-slutrunde. Men nogle gange må en landstræner gøre det nødvendige,,,
VM fodbold,Frygt fik Hjulmand til at skifte Cornelius ud,"Et gult kort og flere påtaler fra dommeren betød, at Andreas Cornelius blev skiftet ud i pausen",,,
VM fodbold,Fransk udmelding er dårligt nyt for Danmark,"Den franske landstræner Didier Deschamps bekræfter, at han vil rotere i Frankrigs sidste gruppekamp",,,
VM fodbold,"Hjulmand hylder Kjær for det, han gjorde på bænken","Simon Kjær sad ude med en skade i kampen mod Frankrig, men han kunne alligevel ikke holde sig fra at involvere sig",,,
VM fodbold,Hjulmand svarer undrende ekspert: - Han var færdig,Landstræner Kasper Hjulmand pillede Mikkel Damsgaard ud og sendte Kasper Dolberg på banen til de sidste 20 minutter mod Frankrig,,,
VM fodbold,"Folk fik, hvad de kom efter, da Mbappé viste sin klasse","Kylian Mbappé indtog hovedrollen og leverede det show, som langt størstedelen af tilskuerne havde håbet på",,,
VM fodbold,Kjær melder sig klar til gruppefinale,"Simon Kjær og Andreas Skov Olsen regner begge med, at de er klar til at spille onsdag mod Australien",,,
VM fodbold,Dansk profil undrer sig: - Han slog ud efter mig,"Den danske midterforsvar Joachim Andersen appellerede både til Olivier Giroud og kampens dommer, efter han blev ramt i hovedet af franskmandens hånd",,,
VM fodbold,"Hjulmand om gyser: - Vi ved, vi skal vinde","Landstræner Kasper Hjulmand forventer en svær kamp, når Danmark onsdag spiller VM-skæbnekamp mod Australien",,,
VM fodbold,"Én dansker skiller sig ud - men ""Hjulmand fejlede""","Morten Bruun uddeler karakterer til de danske spillere efter VM-kampen mod Frankrig, der sluttede 2-1 til franskmændene",,,
VM fodbold,"- Umuligt at lukke ham ned, siger dansker om Mbappé",To glimt af verdensklasse fra Kyllian Mbappé var nok til sænke det danske landshold,,,
VM fodbold,Mbappé sænker Danmark i VM-brag - nu venter gyser,"Kyllian Mbappé, en af verdens bedste fodboldspillere, var for stor en mundfuld for Danmark ved VM i Qatar. Nu venter gyser mod Australien på onsdag",,,
VM fodbold,FIFA åbner sag mod VM-land på grund af omstridt flag,"Kosovo er rasende over et flag i Serbiens omklædningsrum, og FIFA har nu åbnet en disciplinærsag",,,
VM fodbold,"VM-landstræner hånes på forsiden af avis efter ""respektløs"" udtalelse","Canadas landstræner, John Herdman, er kommet med en udtalelse, der har bragt ham i unåde hos et kroatisk medie og landstræneren",,,
VM fodbold,Hjulmand afslører - to stjerner døjer med skader,"Andreas Skov Olsen er slet ikke at finde på bænken, mens Simon Kjær ikke kan spille 90 minutter",,,
VM fodbold,Hjulmand bænker anføreren og laver fire ændringer,"Danmark stiller op med en helt ny angrebstrio mod Frankrig i form af Lindstrøm, Cornelius og Damsgaard",,,
VM fodbold,"Qatar-debatten har påvirket landsholdet, mener ekspert","Fodboldekspert Morten Bruun er ikke i tvivl om, at hele debatten om Qatar påvirker det danske landshold",,,
VM fodbold,"Nervøsiteten ramte, da Morten Olsen gav ham overraskende rolle","Christian Poulsen ser tilbage på VM-slutrunden i 2002, hvor han fik en helt særlig rolle over for verdens bedste",,,
VM fodbold,Australien slår Tunesien og hjælper Danmark,"Set med danske briller måtte Tunesien helst ikke slå Australien, og det skete da heller ikke",,,
VM fodbold,Hjulmand har skærpet vigtig del inden VM-brag,Træningen frem mod lørdagens brag mod Frankrig er blevet brugt til at justere en række ting i det danske spil,,,
VM fodbold,Ekspert tror på dansk startopstilling uden Kjær,Danmark møder Frankrig lørdag klokken 17:00. TV 2 SPORTs fodboldeksperter Morten Bruun og Mads Junker har givet deres bud på Danmarks startopstilling,,,
VM fodbold,"Frankrig frygter Danmark, men det her bliver en helt anden kamp","Chefredaktøren på France Football, Pascal Ferré, ser frem mod VM-braget mellem Frankrig og Danmark - med franske briller",,,
VM fodbold,England raser over skandaløs behandling fra FIFA,"Tidligere på ugen kunne Dansk Boldspil-Unions direktør, Jakob Jensen, fortælle, at FIFA havde besøgt Englands hotel",,,
VM fodbold,Usædvanligt stadion venter Danmark,Alt bliver ifølge VM-arrangøren genbrugt efter VM,,,
VM fodbold,Qatar er en historisk ringe VM-vært,Fakta lyver ikke,,,
VM fodbold,Kjær roser undervurderet holdkammerat til skyerne,"På flere områder tilhører Olivier Giroud den absolutte elite, fortæller Simon Kjær og Andreas Christensen inden lørdagens VM-brag",,,
VM fodbold,Franske stjerner forventes tilbage mod Danmark,Raphael Varane og Jules Koundé forventes at starte inde mod Danmark. Begge de franske stjerne sad på bænken mod Australien,,,
VM fodbold,De nedkølede stadioner tager pusten fra Eriksen,Danmark har valgt at rykke deres træninger grundet høje temperaturer,,,
VM fodbold,Landstræner kritiserer sit hold,"Holland var ringe med bolden og vandt ingen dueller mod Ecuador, lyder den kontante dom fra Louis van Gaal",,,
VM fodbold,Lindstrøm forklarer forbedret udgave af sig selv,På flere punkter træner den danske offensivspiller sig til at blive mere effektiv foran kassen,,,
Fodbold,Chelsea-fans raser over kamp juleaften,Chelsea-fans vil have rykket kampen mod Wolves juleaftensdag. ,,,
Samfund,"Ingen ville ansætte sygeplejersken Louise: - Endelig er der nogen, der vil have mig!",En alternativ jobansøgning skulle vise sig at være en overvældende succes for nyuddannet sygeplejerske,,,
Udland,For få dage siden var han stort set ukendt - nu er han en af USA's mægtigste mænd,"Han er for et totalt abortforbud, støtter Trump og har kaldt homoægteskaber en trussel mod demokratiet. Mød den nye formand for Repræsentanternes Hus",,,
Penge,"Centralbank holder renten i ro - her er fire spørgsmål, du bør stille dig selv","Selvom de stigende renter gør det dyrere at låne penge, giver de også muligheder for at spare, fortæller forbrugerøkonom. ",,,
GO',"Eksperter fraråder, at man følger nyt populært sundhedsråd","Fødevarestyrelsen og eksperter advarer mod nogle af de seneste kostråd, der er delt på sociale medier",,,
